"ID","Type","Tool","Summary","AllLabels","Opened","OpenedTimestamp"
"876","Enhancement","all","Make sure plugins don't hurt performance","Type-Enhancement, Effort-Moderate, Benefit-Minimal, Tool-all, Tag-plugin, Tag-performance","Feb 01, 2010 03:15:43","1264994143"
"875","Enhancement","mk_table_sync","Make mk-table-sync support plugins","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-mk_table_sync, Tag-performance, Tag-2waysync, Tag-plugin","Feb 01, 2010 03:12:55","1264993975"
"874","Enhancement","mk_table_sync","Make mk-table-sync do iterations before --lock-and-rename","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_table_sync, Tag-mysqlbug, Tag-locktables","Feb 01, 2010 02:43:44","1264992224"
"873","Enhancement","mk_table_sync","Make mk-table-sync use arrays instead of hashes","Type-Enhancement, Effort-Extensive, Benefit-Minimal, Tool-mk_table_sync, Tag-memory, Tag-performance","Feb 01, 2010 02:36:46","1264991806"
"871","Enhancement","all","Build generic crosstab functionality","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-all, Tag-sqlengine, Tag-crosstab","Feb 01, 2010 01:13:34","1264986814"
"870","Enhancement","mk_slave_prefetch","Make mk-slave-prefetch tune its behavior based on InnoDB status","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_slave_prefetch, Tag-selftuning","Feb 01, 2010 00:00:05","1264982405"
"869","Enhancement","mk_query_digest","Make mk-query-digest compute a scaling graph","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-mk_query_digest, Tag-timeseries, Tag-queueingtheory, Tag-scalability","Jan 31, 2010 21:50:23","1264974623"
"868","Enhancement","mk_query_digest","Make mk-query-digest calculate true concurrency from processlist","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-concurrency, Tag-processlist","Jan 31, 2010 21:06:56","1264972016"
"867","Enhancement","mk_query_digest","Make mk-query-digest detect Lock_time from processlist","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-locking, Tag-processlist","Jan 31, 2010 21:05:00","1264971900"
"866","Enhancement","mk_query_digest","Make mk-query-digest use less memory","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-performance, Tag-profiling, Tag-instrumentation, Tag-refactoring, Tag-memory","Jan 31, 2010 20:46:33","1264970793"
"865","Enhancement","mk_query_advisor","Make mk-query-advisor deconstruct/expand stored procedures","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_query_advisor, Tag-sproc, Tag-sqlparsing","Jan 31, 2010 04:15:11","1264911311"
"864","Enhancement","mk_query_advisor","Make mk-query-advisor rules pluggable","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_advisor, Tag-plugin","Jan 31, 2010 04:03:52","1264910632"
"863","Enhancement","mk_query_advisor","Make mk-query-advisor examine table schema","Type-Enhancement, Effort-Moderate, Benefit-LifeChanging, Tool-mk_query_advisor, Tag-datatypes, Tag-schema","Jan 31, 2010 04:00:21","1264910421"
"862","Enhancement","mk_query_advisor","Make mk-query-advisor examine EXPLAIN plans","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-mk_query_advisor, Tag-sqlparsing, Tag-warnings, Tag-explain","Jan 31, 2010 03:56:48","1264910208"
"861","Enhancement","mk_query_advisor","Create mk-query-advisor","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-mk_query_advisor, Tag-sqlparsing","Jan 31, 2010 03:46:22","1264909582"
"860","Enhancement","mk_query_advisor","Examine QOT tools for inspiration for mk-query-advisor","Type-Enhancement, Effort-Easy, Benefit-Helpful, Tool-mk_query_advisor, Tag-sqlparsing, Tag-inspiration","Jan 31, 2010 02:45:07","1264905907"
"859","Enhancement","mk_parallel_restore","Make mk-parallel-restore choose more optimal concurrency","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_parallel_restore, Tag-forking, Tag-performance","Jan 31, 2010 02:20:40","1264904440"
"858","Enhancement","mk_upgrade","Make nicer output for mk-upgrade","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_upgrade, Tag-reporting","Jan 31, 2010 01:55:26","1264902926"
"857","Enhancement","new","Create mk-log-server","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-new, Tag-binlog, Tag-replication","Jan 31, 2010 01:50:05","1264902605"
"856","Enhancement","all","Instrument all tools","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-all, Tag-DBI, Tag-instrumentation","Jan 31, 2010 01:18:13","1264900693"
"855","Enhancement","mk_loadavg","Make mk-loadavg thresholds look like an SQL query","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_loadavg, Tag-procstat, Tag-sqlparsing, Tag-sqlengine","Jan 31, 2010 01:00:41","1264899641"
"854","Enhancement","mk_kill","Make mk-kill notice and stop abusive queries","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_kill","Jan 31, 2010 00:51:10","1264899070"
"853","Enhancement","mk_kill","Make mk-kill kill all queries","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_kill, Module-Processlist.pm, Module-MasterSlave.pm","Jan 31, 2010 00:47:27","1264898847"
"852","Enhancement","mk_kill","Add a --finger option to mk-kill","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_kill, Tag-processlist, PatchContributed, WishList","Jan 30, 2010 19:50:26","1264881026"
"851","Enhancement","mk_duplicate_key_checker","Make mk-duplicate-key-checker's output nicer","Type-Enhancement, Effort-Moderate, Benefit-Minimal, Tool-mk_duplicate_key_checker, Tag-indexing","Jan 30, 2010 19:44:46","1264880686"
"850","Task","new","Create mk-cluster","Type-Task, Effort-Extensive, Benefit-LifeChanging, Tool-new, WishList, Tag-replication","Jan 30, 2010 19:25:50","1264879550"
"849","Task","new","Make a binary log parser","Type-Task, Effort-Extensive, Benefit-Helpful, Tool-new, WishList, Tag-replication, Tag-binlog","Jan 30, 2010 17:07:12","1264871232"
"847","Enhancement","all","Embed pure-Perl mysql implementation","Type-Enhancement, Effort-Extensive, Benefit-Minimal, Tool-all, Tag-DBI, WishList","Jan 30, 2010 16:40:00","1264869600"
"846","Enhancement","mk_archiver","Make mk-archiver do reverse nibbling","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_archiver, Tag-nibbling","Jan 29, 2010 22:58:52","1264805932"
"843","Enhancement","mk_query_digest","Add --memory-limit to mk-query-digest","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-memory, QuickWin, Tag-performance","Jan 29, 2010 02:51:18","1264733478"
"839","Enhancement","mk_parallel_dump","Fix misc issues in mk-parallel-dump r5517","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_parallel_dump, Sponsored, Tag-forking, Percona-8858, CodeCleanup","Jan 28, 2010 15:27:40","1264692460"
"838","Enhancement","mk_parallel_dump","Make mk-parallel-dump print blobs as hex","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_parallel_dump, Sponsored, Tag-blob, Percona-8858","Jan 28, 2010 15:25:51","1264692351"
"836","Enhancement","mk_parallel_dump","Make mk-parallel-dump split big INSERTs","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_parallel_dump, Sponsored, Percona-8858","Jan 28, 2010 15:09:36","1264691376"
"835","Enhancement","mk_parallel_dump","Make mk-parallel-dump always dump lossless floats","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_parallel_dump, Sponsored, Tag-precision, Percona-8858","Jan 28, 2010 15:03:36","1264691016"
"834","Defect","mk_parallel_dump","Fix mk-parallel-dump locking","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Helpful, Tool-mk_parallel_dump, Sponsored","Jan 28, 2010 14:57:10","1264690630"
"828","Enhancement","mk_query_digest","Add tabular tables -vs- queries report to mk-query-digest","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-fingerprint, Tag-sqlparsing, Tag-crosstab, Tag-reporting","Jan 27, 2010 16:17:07","1264609027"
"827","Enhancement","mk_query_digest","Do Erlang C math","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-mk_query_digest, Tag-queueingtheory, Tag-graphing, Tag-plugin","Jan 26, 2010 17:58:10","1264528690"
"826","Enhancement","mk_query_digest","Make mk-query-digest pluggable","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-mk_query_digest, Tag-refactoring, Tag-plugin","Jan 26, 2010 17:49:22","1264528162"
"823","Enhancement","","Use closures instead of dynamic anon subs evaled at run-time","Type-Enhancement, Effort-Moderate, Benefit-Minimal, Module-SchemaIterator.pm, CodeCleanup","Jan 25, 2010 18:42:23","1264444943"
"821","Enhancement","mk_parallel_dump","Make mk-parallel-dump able to write tab-separated files locally","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_parallel_dump, Sponsored","Jan 24, 2010 16:46:05","1264351565"
"820","Defect","mk_table_sync","Make mk-table-sync honor schema filters with --replicate","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Helpful, Tool-mk_table_sync, Tag-filtering, Module-SchemaIterator.pm","Jan 24, 2010 04:13:30","1264306410"
"819","Enhancement","mk_parallel_dump","Make mk-parallel-dump reimplement mysqldump","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_parallel_dump","Jan 24, 2010 00:40:46","1264293646"
"815","Enhancement","mk_query_digest","Make mk-query-digest get queries from a table in mysql5.1","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-querysource, QuickWin","Jan 19, 2010 20:21:30","1263932490"
"813","Enhancement","mk_table_checksum","mk-table-checksum, mk-table-sync skip slave","Type-Enhancement, Effort-Extensive, Benefit-Minimal, Tool-mk_table_checksum, Tag-replication, Tag-lacksclarity, Tag-serverdiscovery, Tag-filtering","Jan 19, 2010 14:55:44","1263912944"
"812","Defect","","Differences in SHOW CREATE TABLE in 5.1 make tests fail","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Helpful, Module-TableParser.pm","Jan 18, 2010 16:13:07","1263831187"
"811","Enhancement","mk_kill","Make mk-kill not kill queries updating MyISAM tables","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_kill, Tag-transaction","Jan 17, 2010 23:29:47","1263770987"
"809","Enhancement","mk_query_digest","Make mk-query-digest do sliding-window analysis","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-mk_query_digest, Tag-timeseries, Tag-fingerprint, Tag-crosstab, Tag-reporting","Jan 17, 2010 22:50:49","1263768649"
"808","Enhancement","mk_table_checksum","Make mk-table-(checksum,sync) treat hex data as numeric for chunking","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_table_checksum, Tag-chunking, Tag-hexdata","Jan 16, 2010 19:42:46","1263670966"
"805","Enhancement","mk_table_checksum","Add --print to mk-table-checksum","Type-Enhancement, Effort-Easy, Benefit-Minimal, Tool-mk_table_checksum, Tag-standard","Jan 14, 2010 17:31:37","1263490297"
"802","Defect","all","Recursing to slave doesn't work with --defaults-file (-F)","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Minimal, Tool-all, Tag-DSN, Module-DSNParser.pm","Jan 12, 2010 20:46:18","1263329178"
"801","Defect","all","DSNParser clobbers SQL_MODE","Type-Defect, Severity-Minor, Effort-Easy, Benefit-Helpful, Tool-all, Tag-DSN, Tag-sqlmode, Module-DSNParser.pm","Jan 12, 2010 15:35:07","1263310507"
"797","Enhancement","mk_kill","Make mk-kill able to send emails with killed queries","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_kill, Tag-plugin","Jan 09, 2010 20:39:08","1263069548"
"796","Enhancement","mk_table_checksum","Make mk-table-checksum skip tables that'll be too big/slow","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_table_checksum, Tag-chunking","Jan 09, 2010 20:29:14","1263068954"
"793","Defect","mk_loadavg","mk-loadavg doesn't count processlist statuses right","Type-Defect, Severity-Serious, Effort-Easy, Benefit-Helpful, Tool-mk_loadavg","Jan 07, 2010 05:35:11","1262842511"
"792","Docs","all","Enhance tools' PODs with more and better examples","Type-Docs, Effort-Easy, Benefit-Helpful, Tool-all","Jan 07, 2010 04:15:08","1262837708"
"791","Enhancement","mk_query_digest","Add more mysql protocol flags to event attributes for mk-query-digest","Type-Enhancement, Effort-Easy, Benefit-Helpful, Tool-mk_query_digest, Tag-transactions, Tag-protocol, QuickWin, Module-MySQLProtocolParser.pm","Jan 07, 2010 00:25:04","1262823904"
"790","Defect","mk_table_sync","mk-table-sync --lock-and-rename doesn't work on 5.1","Type-Defect, Severity-Serious, Effort-Easy, Benefit-Helpful, Tool-mk_table_sync, Tag-locktables, Tag-mysqlbug","Jan 05, 2010 23:13:44","1262733224"
"789","Defect","","SHOW INNODB STATUS changed from 5.0 to 5.1","Type-Defect, Severity-Serious, Effort-Easy, Benefit-Helpful","Jan 04, 2010 23:41:12","1262648472"
"787","Enhancement","mk_query_digest","Make mk-query-digest find ""bad spots"" over time","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-mk_query_digest, Tag-reporting, Tag-timeseries","Jan 03, 2010 22:39:58","1262558398"
"785","Defect","","ReportFormatter doesn't handle widths right","Type-Defect, Severity-Minor, Effort-Easy, Benefit-Helpful, Module-ReportFormatter.pm","Jan 01, 2010 20:16:39","1262376999"
"783","Enhancement","mk_table_sync","Make mk-table-sync sync via SELECT INTO OUTFILE / LOAD DATA INFILE","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_table_sync, Tag-syncalgorithm","Jan 01, 2010 18:38:28","1262371108"
"780","Enhancement","new","Create mk-stat","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-new, WishList, Tag-procstat, Tag-graphing","Dec 30, 2009 04:29:44","1262147384"
"779","Enhancement","mk_kill","Make mk-kill kill all but N duplicates of a query","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_kill","Dec 30, 2009 04:20:12","1262146812"
"778","Enhancement","mk_review_helper","Write VIEW definitions for mk-query-digest review information","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_review_helper, Tag-queryreview","Dec 30, 2009 04:09:36","1262146176"
"776","Enhancement","all","Add --pause feature to tools","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-all","Dec 29, 2009 00:14:22","1262045662"
"775","Docs","","Add developer documentation","Type-Docs, Effort-Moderate, Benefit-Helpful","Dec 25, 2009 11:12:36","1261739556"
